Role,Soft Skills,Tech Stack,Experience (Years),Salary Range (LKR/Month)
Site Reliability Engineer Intern,"Learning mindset, Problem-solving, Monitoring awareness, Systematic approach","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
API Developer Intern,"Problem-solving, API design learning, Communication, Documentation","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Integration Engineer Intern,"System thinking, Learning mindset, Integration thinking, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Game Developer Intern,"Creativity, Problem-solving, Learning mindset, Performance awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Embedded Systems Intern,"Attention to detail, Learning mindset, Hardware awareness, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Browser Developer Intern,"Learning mindset, Code understanding, Browser technology awareness, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Voice/Chat AI Engineer Trainee,"Research mindset, Learning orientation, Communication, AI awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
NLP Engineer Intern,"Learning mindset, Language processing thinking, Problem-solving, Research","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Computer Vision Intern,"Visual thinking, Learning mindset, Problem-solving, Image processing awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
E-commerce Developer Intern,"E-commerce thinking, Learning mindset, Problem-solving, User flow awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Web3/Blockchain Developer Intern,"Emerging tech awareness, Learning mindset, Problem-solving, Innovation thinking","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Mobile QA Tester Intern,"Attention to detail, Learning mindset, Mobile awareness, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Testing Automation Intern,"Automation thinking, Learning mindset, Problem-solving, Tool awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Salesforce Administrator,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Salesforce Business Analyst,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Salesforce Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
SAP Consultant (FI-CO),"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
SAP Consultant (MM/SD),"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
SAP ABAP Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
ERP Implementation Consultant,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
ERP Systems Analyst,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Oracle Database Administrator,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Oracle Applications Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Data Warehouse Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Data Warehouse Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
ETL Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Business Intelligence Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Analytics Engineer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Release Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Change Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Service Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Configuration Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Program Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Technical Program Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Operations Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Director,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Chief Technology Officer (CTO),"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Application Security Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Security Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Compliance Officer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Risk Management Specialist,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IT Risk Analyst,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Solutions Engineer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Technical Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Senior Technology Consultant,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Technology Strategist,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Digital Transformation Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Agile Coach,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Product Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Product Owner,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Technical Product Manager,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Software Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Microservices Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Blockchain Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Cryptocurrency/Web3 Specialist,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
IoT Solutions Architect,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Robotics Process Automation (RPA) Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Power BI Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Tableau Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Informatica Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Talend Developer,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Kubernetes Administrator,"Communication, Organizational skills, Problem-solving, User support orientation","Salesforce platform, Einstein Analytics, Flow, Apex basics, SOQL","1-2 (Entry), 3-5 (Mid), 6+ (Senior)","90,000-140,000 (Entry) | 140,000-240,000 (Mid) | 240,000-420,000 (Senior)"
Cloud Solutions Intern,"Learning mindset, Problem-solving, Cloud awareness, Teamwork","AWS/Azure/GCP basics, Cloud architecture, REST APIs, Terraform",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
AWS Solutions Intern,"Cloud thinking, Problem-solving, Learning mindset, AWS knowledge","AWS EC2, S3, Lambda, RDS, CloudFormation basics, Terraform",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-60,000 (Paid internship)"
Azure Cloud Intern,"Cloud awareness, Problem-solving, Learning orientation, Azure basics","Azure VMs, App Service, SQL Database, Azure DevOps basics",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-55,000 (Paid internship)"
GCP Cloud Intern,"Cloud mindset, Problem-solving, Learning orientation, GCP awareness","GCP Compute Engine, Cloud Storage, Dataflow, Terraform basics",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Salesforce Intern,"Learning mindset, Configuration awareness, Problem-solving, Teamwork","Salesforce platform, Apex basics, SOQL, Salesforce configuration",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
SAP Intern,"Enterprise thinking, Learning mindset, Problem-solving, Teamwork","SAP modules basics, ABAP fundamentals, SAP NetWeaver introduction",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
Oracle Intern,"Enterprise systems awareness, Learning mindset, Problem-solving, Teamwork","Oracle Database basics, SQL, PL/SQL fundamentals, Oracle Forms intro",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
ERP Systems Intern,"ERP understanding, Learning mindset, Problem-solving, Documentation","ERP platforms basics, Business process mapping, SAP/Oracle introduction",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-48,000 (Paid internship)"
Mainframe Developer Intern,"Legacy systems awareness, Learning mindset, Problem-solving, Teamwork","Mainframe concepts, z/OS basics, Enterprise systems understanding",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-50,000 (Paid internship)"
COBOL Developer Intern,"Legacy programming mindset, Learning mindset, Problem-solving, Attention to detail","COBOL basics, Mainframe programming, Legacy systems introduction",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-48,000 (Paid internship)"
Kubernetes Intern,"Container orchestration mindset, Learning orientation, Problem-solving, Teamwork","Kubernetes, Docker, YAML, Container orchestration basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-60,000 (Paid internship)"
Docker Intern,"Containerization thinking, Problem-solving, Learning mindset, Teamwork","Docker, Container concepts, Docker Compose, Image management basics",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Jenkins DevOps Intern,"CI/CD pipeline awareness, Learning mindset, Problem-solving, Teamwork","Jenkins, CI/CD pipelines, Git, Groovy basics",Fresh graduate / Final year student,"0-24,000 (Unpaid) | 24,000-58,000 (Paid internship)"
Linux System Administration Intern,"System administration mindset, Learning orientation, Problem-solving, Teamwork","Linux fundamentals, Bash scripting, System administration basics",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Windows System Administration Intern,"Windows administration thinking, Learning mindset, Problem-solving, Teamwork","Windows Server basics, PowerShell, System management introduction",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Hadoop Big Data Intern,"Big data thinking, Problem-solving, Learning mindset, Data awareness","Hadoop ecosystem, HDFS basics, MapReduce fundamentals, Hive intro",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-60,000 (Paid internship)"
Apache Spark Intern,"Distributed computing mindset, Learning orientation, Problem-solving, Teamwork","Apache Spark, PySpark basics, Distributed computing, Spark SQL",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-60,000 (Paid internship)"
Data Analytics Intern,"Data-driven thinking, Learning mindset, Problem-solving, Analysis","Python, Pandas, NumPy, SQL, Data visualization tools",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Power BI Intern,"Data visualization thinking, Learning mindset, Problem-solving, Analytical skills","Power BI basics, DAX fundamentals, Data models, Excel integration",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
Tableau Intern,"Data visualization mindset, Problem-solving, Learning orientation, Design awareness","Tableau basics, Tableau Prep, Data visualization, SQL fundamentals",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
Informatica Intern,"Data integration thinking, Learning mindset, Problem-solving, System awareness","Informatica basics, Data mapping, ETL design, Cloud data platforms",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Talend Intern,"Data integration mindset, Learning orientation, Problem-solving, Teamwork","Talend basics, Data integration, Job designer, Apache components",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
MongoDB Developer Intern,"NoSQL thinking, Problem-solving, Learning mindset, Database awareness","MongoDB, NoSQL concepts, JSON, Query language basics",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
PostgreSQL Developer Intern,"Relational database thinking, Learning mindset, Problem-solving, SQL awareness","PostgreSQL, SQL, Relational database concepts, PL/pgSQL basics",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
MySQL Developer Intern,"Relational database mindset, Learning orientation, Problem-solving, Teamwork","MySQL, SQL, Relational databases, PHP/Python integration basics",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-48,000 (Paid internship)"
Redis Developer Intern,"In-memory database thinking, Learning mindset, Problem-solving, Performance awareness","Redis, In-memory databases, Caching concepts, Key-value stores",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
GraphQL API Developer Intern,"API design learning, Problem-solving, Learning mindset, Communication","GraphQL basics, Apollo Server intro, REST API comparison",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Microservices Architecture Intern,"Architecture thinking, Problem-solving, Learning mindset, System awareness","Microservices patterns, Domain-driven design, Docker/Kubernetes",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-60,000 (Paid internship)"
Service Mesh Intern,"Service mesh mindset, Learning orientation, Problem-solving, Teamwork","Service mesh platforms (Istio), Kubernetes, Distributed systems",Fresh graduate / Final year student,"0-24,000 (Unpaid) | 24,000-58,000 (Paid internship)"
API Gateway Intern,"Gateway architecture thinking, Learning mindset, Problem-solving, Teamwork","API Gateway concepts, Kong/AWS API Gateway, Microservices routing",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Message Queue Developer Intern (Kafka/RabbitMQ),"Message queue thinking, Learning mindset, Problem-solving, System awareness","Kafka/RabbitMQ basics, Message queues, Event-driven architecture",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
IoT Developer Intern,"IoT thinking, Problem-solving, Learning mindset, Hardware awareness","Arduino/Raspberry Pi basics, MQTT, IoT platforms (AWS IoT, Azure IoT)",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
Edge Computing Intern,"Edge computing mindset, Learning orientation, Problem-solving, Teamwork","Edge computing concepts, IoT Edge platforms, Lightweight programming",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
Firmware Developer Intern,"Firmware development mindset, Learning mindset, Problem-solving, Hardware knowledge","Embedded C basics, Microcontroller concepts, Firmware programming",Fresh graduate / Final year student,"0-22,000 (Unpaid) | 22,000-55,000 (Paid internship)"
Mobile App Testing Intern,"Testing mindset, Problem-solving, Learning orientation, Mobile awareness","Mobile testing tools, Test automation, Mobile testing frameworks",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Cross-Platform Development Intern,"Cross-platform thinking, Learning mindset, Problem-solving, Teamwork","React Native, Flutter basics, Cross-platform frameworks, Mobile UI",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Progressive Web App (PWA) Developer Intern,"Web technology awareness, Learning mindset, Problem-solving, Progressive thinking","HTML5, CSS3, JavaScript, Service Workers, Progressive web principles",Fresh graduate / Final year student,"0-18,000 (Unpaid) | 18,000-45,000 (Paid internship)"
Augmented Reality (AR) Developer Intern,"Emerging tech mindset, Learning orientation, Problem-solving, Innovation thinking","ARKit, ARCore basics, 3D graphics, Spatial computing concepts",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-65,000 (Paid internship)"
Virtual Reality (VR) Developer Intern,"Emerging tech awareness, Learning mindset, Problem-solving, Immersive thinking","Unity, Unreal Engine basics, 3D graphics, Virtual environments",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-65,000 (Paid internship)"
Chatbot Development Intern,"Conversational AI thinking, Learning mindset, Problem-solving, Communication","Natural language processing, Chatbot platforms, Conversational AI basics",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
RPA Testing Intern,"Process automation thinking, Learning mindset, Problem-solving, Testing awareness","UiPath/Blueprism basics, RPA tools, Automation testing, Process mining",Fresh graduate / Final year student,"0-20,000 (Unpaid) | 20,000-50,000 (Paid internship)"
